2025-12-31 22:01:57.524 [info] ChatSessionStore: Migrating 0 chat sessions from storage service to file system
2025-12-31 22:01:57.862 [info] Started local extension host with pid 11936.
2025-12-31 22:01:58.466 [info] [vscodevim.vim]: Command `toggleVim` already registered by NVim (HenryTsz.nvim)
2025-12-31 22:01:58.467 [info] [vscodevim.vim]: Command `vim.showQuickpickCmdLine` already registered by NVim (HenryTsz.nvim)
2025-12-31 22:01:58.467 [info] [vscodevim.vim]: Command `vim.editVimrc` already registered by NVim (HenryTsz.nvim)
2025-12-31 22:01:58.499 [warning] [vscodevim.vim]: Cannot register 'vim.useSystemClipboard'. This property is already registered.
2025-12-31 22:01:58.499 [warning] [vscodevim.vim]: Cannot register 'vim.overrideCopy'. This property is already registered.
2025-12-31 22:01:58.500 [warning] [vscodevim.vim]: Cannot register 'vim.insertModeKeyBindings'. This property is already registered.
2025-12-31 22:01:58.500 [warning] [vscodevim.vim]: Cannot register 'vim.insertModeKeyBindingsNonRecursive'. This property is already registered.
2025-12-31 22:01:58.501 [warning] [vscodevim.vim]: Cannot register 'vim.visualModeKeyBindings'. This property is already registered.
2025-12-31 22:01:58.501 [warning] [vscodevim.vim]: Cannot register 'vim.visualModeKeyBindingsNonRecursive'. This property is already registered.
2025-12-31 22:01:58.501 [warning] [vscodevim.vim]: Cannot register 'vim.commandLineModeKeyBindings'. This property is already registered.
2025-12-31 22:01:58.502 [warning] [vscodevim.vim]: Cannot register 'vim.commandLineModeKeyBindingsNonRecursive'. This property is already registered.
2025-12-31 22:01:58.502 [warning] [vscodevim.vim]: Cannot register 'vim.textwidth'. This property is already registered.
2025-12-31 22:01:58.502 [warning] [vscodevim.vim]: Cannot register 'vim.timeout'. This property is already registered.
2025-12-31 22:01:58.503 [warning] [vscodevim.vim]: Cannot register 'vim.maxmapdepth'. This property is already registered.
2025-12-31 22:01:58.503 [warning] [vscodevim.vim]: Cannot register 'vim.scroll'. This property is already registered.
2025-12-31 22:01:58.504 [warning] [vscodevim.vim]: Cannot register 'vim.showcmd'. This property is already registered.
2025-12-31 22:01:58.504 [warning] [vscodevim.vim]: Cannot register 'vim.showmodename'. This property is already registered.
2025-12-31 22:01:58.504 [warning] [vscodevim.vim]: Cannot register 'vim.iskeyword'. This property is already registered.
2025-12-31 22:01:58.505 [warning] [vscodevim.vim]: Cannot register 'vim.ignorecase'. This property is already registered.
2025-12-31 22:01:58.505 [warning] [vscodevim.vim]: Cannot register 'vim.smartcase'. This property is already registered.
2025-12-31 22:01:58.505 [warning] [vscodevim.vim]: Cannot register 'vim.matchpairs'. This property is already registered.
2025-12-31 22:01:58.506 [warning] [vscodevim.vim]: Cannot register 'vim.camelCaseMotion.enable'. This property is already registered.
2025-12-31 22:01:58.506 [warning] [vscodevim.vim]: Cannot register 'vim.easymotion'. This property is already registered.
2025-12-31 22:01:58.507 [warning] [vscodevim.vim]: Cannot register 'vim.easymotionMarkerBackgroundColor'. This property is already registered.
2025-12-31 22:01:58.507 [warning] [vscodevim.vim]: Cannot register 'vim.easymotionMarkerForegroundColorOneChar'. This property is already registered.
2025-12-31 22:01:58.508 [warning] [vscodevim.vim]: Cannot register 'vim.easymotionMarkerForegroundColorTwoCharFirst'. This property is already registered.
2025-12-31 22:01:58.508 [warning] [vscodevim.vim]: Cannot register 'vim.easymotionMarkerForegroundColorTwoCharSecond'. This property is already registered.
2025-12-31 22:01:58.508 [warning] [vscodevim.vim]: Cannot register 'vim.easymotionIncSearchForegroundColor'. This property is already registered.
2025-12-31 22:01:58.509 [warning] [vscodevim.vim]: Cannot register 'vim.easymotionDimColor'. This property is already registered.
2025-12-31 22:01:58.509 [warning] [vscodevim.vim]: Cannot register 'vim.easymotionDimBackground'. This property is already registered.
2025-12-31 22:01:58.509 [warning] [vscodevim.vim]: Cannot register 'vim.easymotionMarkerFontWeight'. This property is already registered.
2025-12-31 22:01:58.510 [warning] [vscodevim.vim]: Cannot register 'vim.easymotionKeys'. This property is already registered.
2025-12-31 22:01:58.510 [warning] [vscodevim.vim]: Cannot register 'vim.easymotionJumpToAnywhereRegex'. This property is already registered.
2025-12-31 22:01:58.510 [warning] [vscodevim.vim]: Cannot register 'vim.replaceWithRegister'. This property is already registered.
2025-12-31 22:01:58.511 [warning] [vscodevim.vim]: Cannot register 'vim.smartRelativeLine'. This property is already registered.
2025-12-31 22:01:58.511 [warning] [vscodevim.vim]: Cannot register 'vim.targets.enable'. This property is already registered.
2025-12-31 22:01:58.512 [warning] [vscodevim.vim]: Cannot register 'vim.targets.bracketObjects.enable'. This property is already registered.
2025-12-31 22:01:58.512 [warning] [vscodevim.vim]: Cannot register 'vim.targets.smartQuotes.enable'. This property is already registered.
2025-12-31 22:01:58.512 [warning] [vscodevim.vim]: Cannot register 'vim.targets.smartQuotes.breakThroughLines'. This property is already registered.
2025-12-31 22:01:58.513 [warning] [vscodevim.vim]: Cannot register 'vim.targets.smartQuotes.aIncludesSurroundingSpaces'. This property is already registered.
2025-12-31 22:01:58.513 [warning] [vscodevim.vim]: Cannot register 'vim.sneak'. This property is already registered.
2025-12-31 22:01:58.514 [warning] [vscodevim.vim]: Cannot register 'vim.sneakUseIgnorecaseAndSmartcase'. This property is already registered.
2025-12-31 22:01:58.514 [warning] [vscodevim.vim]: Cannot register 'vim.sneakReplacesF'. This property is already registered.
2025-12-31 22:01:58.514 [warning] [vscodevim.vim]: Cannot register 'vim.surround'. This property is already registered.
2025-12-31 22:01:58.515 [warning] [vscodevim.vim]: Cannot register 'vim.argumentObjectSeparators'. This property is already registered.
2025-12-31 22:01:58.515 [warning] [vscodevim.vim]: Cannot register 'vim.argumentObjectOpeningDelimiters'. This property is already registered.
2025-12-31 22:01:58.516 [warning] [vscodevim.vim]: Cannot register 'vim.argumentObjectClosingDelimiters'. This property is already registered.
2025-12-31 22:01:58.516 [warning] [vscodevim.vim]: Cannot register 'vim.hlsearch'. This property is already registered.
2025-12-31 22:01:58.516 [warning] [vscodevim.vim]: Cannot register 'vim.inccommand'. This property is already registered.
2025-12-31 22:01:58.517 [warning] [vscodevim.vim]: Cannot register 'vim.incsearch'. This property is already registered.
2025-12-31 22:01:58.517 [warning] [vscodevim.vim]: Cannot register 'vim.history'. This property is already registered.
2025-12-31 22:01:58.518 [warning] [vscodevim.vim]: Cannot register 'vim.autoindent'. This property is already registered.
2025-12-31 22:01:58.518 [warning] [vscodevim.vim]: Cannot register 'vim.joinspaces'. This property is already registered.
2025-12-31 22:01:58.519 [warning] [vscodevim.vim]: Cannot register 'vim.startInInsertMode'. This property is already registered.
2025-12-31 22:01:58.519 [warning] [vscodevim.vim]: Cannot register 'vim.handleKeys'. This property is already registered.
2025-12-31 22:01:58.519 [warning] [vscodevim.vim]: Cannot register 'vim.statusBarColorControl'. This property is already registered.
2025-12-31 22:01:58.520 [warning] [vscodevim.vim]: Cannot register 'vim.statusBarColors.normal'. This property is already registered.
2025-12-31 22:01:58.520 [warning] [vscodevim.vim]: Cannot register 'vim.statusBarColors.insert'. This property is already registered.
2025-12-31 22:01:58.521 [warning] [vscodevim.vim]: Cannot register 'vim.statusBarColors.visual'. This property is already registered.
2025-12-31 22:01:58.521 [warning] [vscodevim.vim]: Cannot register 'vim.statusBarColors.visualline'. This property is already registered.
2025-12-31 22:01:58.522 [warning] [vscodevim.vim]: Cannot register 'vim.statusBarColors.visualblock'. This property is already registered.
2025-12-31 22:01:58.522 [warning] [vscodevim.vim]: Cannot register 'vim.statusBarColors.replace'. This property is already registered.
2025-12-31 22:01:58.522 [warning] [vscodevim.vim]: Cannot register 'vim.statusBarColors.commandlineinprogress'. This property is already registered.
2025-12-31 22:01:58.523 [warning] [vscodevim.vim]: Cannot register 'vim.statusBarColors.searchinprogressmode'. This property is already registered.
2025-12-31 22:01:58.523 [warning] [vscodevim.vim]: Cannot register 'vim.statusBarColors.easymotionmode'. This property is already registered.
2025-12-31 22:01:58.524 [warning] [vscodevim.vim]: Cannot register 'vim.statusBarColors.easymotioninputmode'. This property is already registered.
2025-12-31 22:01:58.524 [warning] [vscodevim.vim]: Cannot register 'vim.statusBarColors.surroundinputmode'. This property is already registered.
2025-12-31 22:01:58.524 [warning] [vscodevim.vim]: Cannot register 'vim.visualstar'. This property is already registered.
2025-12-31 22:01:58.525 [warning] [vscodevim.vim]: Cannot register 'vim.changeWordIncludesWhitespace'. This property is already registered.
2025-12-31 22:01:58.525 [warning] [vscodevim.vim]: Cannot register 'vim.foldfix'. This property is already registered.
2025-12-31 22:01:58.526 [warning] [vscodevim.vim]: Cannot register 'vim.mouseSelectionGoesIntoVisualMode'. This property is already registered.
2025-12-31 22:01:58.526 [warning] [vscodevim.vim]: Cannot register 'vim.disableExtension'. This property is already registered.
2025-12-31 22:01:58.526 [warning] [vscodevim.vim]: Cannot register 'vim.enableNeovim'. This property is already registered.
2025-12-31 22:01:58.527 [warning] [vscodevim.vim]: Cannot register 'vim.neovimPath'. This property is already registered.
2025-12-31 22:01:58.527 [warning] [vscodevim.vim]: Cannot register 'vim.neovimUseConfigFile'. This property is already registered.
2025-12-31 22:01:58.528 [warning] [vscodevim.vim]: Cannot register 'vim.neovimConfigPath'. This property is already registered.
2025-12-31 22:01:58.528 [warning] [vscodevim.vim]: Cannot register 'vim.vimrc.enable'. This property is already registered.
2025-12-31 22:01:58.528 [warning] [vscodevim.vim]: Cannot register 'vim.vimrc.path'. This property is already registered.
2025-12-31 22:01:58.529 [warning] [vscodevim.vim]: Cannot register 'vim.substituteGlobalFlag'. This property is already registered.
2025-12-31 22:01:58.529 [warning] [vscodevim.vim]: Cannot register 'vim.gdefault'. This property is already registered.
2025-12-31 22:01:58.530 [warning] [vscodevim.vim]: Cannot register 'vim.cursorStylePerMode.normal'. This property is already registered.
2025-12-31 22:01:58.530 [warning] [vscodevim.vim]: Cannot register 'vim.cursorStylePerMode.insert'. This property is already registered.
2025-12-31 22:01:58.530 [warning] [vscodevim.vim]: Cannot register 'vim.cursorStylePerMode.replace'. This property is already registered.
2025-12-31 22:01:58.531 [warning] [vscodevim.vim]: Cannot register 'vim.cursorStylePerMode.visual'. This property is already registered.
2025-12-31 22:01:58.531 [warning] [vscodevim.vim]: Cannot register 'vim.cursorStylePerMode.visualline'. This property is already registered.
2025-12-31 22:01:58.531 [warning] [vscodevim.vim]: Cannot register 'vim.cursorStylePerMode.visualblock'. This property is already registered.
2025-12-31 22:01:58.532 [warning] [vscodevim.vim]: Cannot register 'vim.autoSwitchInputMethod.enable'. This property is already registered.
2025-12-31 22:01:58.532 [warning] [vscodevim.vim]: Cannot register 'vim.autoSwitchInputMethod.defaultIM'. This property is already registered.
2025-12-31 22:01:58.532 [warning] [vscodevim.vim]: Cannot register 'vim.autoSwitchInputMethod.switchIMCmd'. This property is already registered.
2025-12-31 22:01:58.532 [warning] [vscodevim.vim]: Cannot register 'vim.autoSwitchInputMethod.obtainIMCmd'. This property is already registered.
2025-12-31 22:01:58.533 [warning] [vscodevim.vim]: Cannot register 'vim.whichwrap'. This property is already registered.
2025-12-31 22:01:58.533 [warning] [vscodevim.vim]: Cannot register 'vim.report'. This property is already registered.
2025-12-31 22:01:58.533 [warning] [vscodevim.vim]: Cannot register 'vim.digraphs'. This property is already registered.
2025-12-31 22:01:58.533 [warning] [vscodevim.vim]: Cannot register 'vim.wrapscan'. This property is already registered.
2025-12-31 22:01:58.534 [warning] [vscodevim.vim]: Cannot register 'vim.startofline'. This property is already registered.
2025-12-31 22:01:58.534 [warning] [vscodevim.vim]: Cannot register 'vim.showMarksInGutter'. This property is already registered.
2025-12-31 22:01:58.534 [warning] [vscodevim.vim]: Cannot register 'vim.shell'. This property is already registered.
2025-12-31 22:01:58.535 [warning] [vscodevim.vim]: Cannot register 'vim.langmap'. This property is already registered.
2025-12-31 22:01:59.603 [info] MCP Registry configured: https://api.mcp.github.com
2025-12-31 22:02:00.258 [info] Settings Sync: Account status changed from uninitialized to unavailable
2025-12-31 22:02:01.784 [error] An unknown error occurred. Please consult the log for more details.
2025-12-31 22:02:05.811 [info] [perf] Render performance baseline is 83ms
2025-12-31 22:02:46.804 [error] [Extension Host] (node:11936) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
(Use `exe --trace-deprecation ...` to show where the warning was created)
